iter	Passed	Remaining
0	1	114
1	2	112
2	3	102
3	3	93
4	4	90
5	5	88
6	6	85
7	7	83
8	8	81
9	8	79
10	9	77
11	10	76
12	11	75
13	12	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	66
22	19	65
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	45
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
