iter	Passed	Remaining
0	1	1119
1	1	988
2	2	924
3	3	883
4	4	860
5	5	843
6	5	830
7	6	818
8	7	832
9	9	894
10	10	908
11	10	898
12	11	893
13	12	882
14	13	875
15	14	865
16	14	858
17	15	853
18	16	847
19	17	842
20	17	837
21	18	837
22	19	834
23	20	829
24	21	827
25	22	833
26	23	860
27	24	861
28	25	858
29	26	857
30	27	857
31	28	856
32	29	853
33	29	850
34	30	848
35	31	846
36	32	842
37	33	840
38	34	837
39	34	835
40	35	832
41	36	835
42	37	841
43	38	839
44	39	838
45	40	836
46	41	833
47	42	836
48	43	835
49	43	833
50	44	832
51	45	828
52	46	826
53	47	823
54	47	821
55	48	819
56	49	817
57	50	815
58	51	816
59	52	819
60	53	821
61	54	819
62	55	818
63	55	817
64	56	816
65	57	815
66	58	813
67	59	810
68	59	808
69	60	805
70	61	802
71	62	800
72	62	797
73	63	794
74	64	792
75	65	790
76	66	791
77	67	795
78	68	793
79	68	792
80	69	791
81	70	788
82	70	783
83	71	782
84	72	781
85	73	778
86	74	776
87	74	773
88	75	771
89	76	768
90	76	765
91	77	762
92	77	760
93	78	758
94	79	757
95	80	757
96	81	757
97	82	754
98	82	753
99	83	751
100	84	750
101	85	748
102	85	746
103	86	744
104	87	742
105	87	740
106	88	738
107	89	736
108	89	733
109	90	731
110	91	730
111	91	728
112	92	726
113	93	724
114	94	725
115	95	726
116	96	729
117	97	728
118	98	727
119	98	725
120	99	723
121	100	721
122	100	719
123	101	717
124	102	715
125	102	713
126	103	710
127	104	709
128	104	707
129	105	706
130	106	704
131	106	702
132	107	701
133	108	700
134	110	706
135	111	705
136	111	704
137	112	703
138	113	701
139	113	700
140	114	698
141	115	696
142	116	696
143	117	696
144	117	695
145	118	694
146	119	694
147	120	692
148	120	690
149	121	689
150	122	688
151	123	688
152	124	689
153	125	688
154	125	686
155	126	685
156	127	684
157	128	683
158	128	682
159	129	680
160	130	678
161	130	677
162	131	675
163	132	674
164	132	672
165	133	671
166	134	669
167	134	668
168	135	667
169	136	666
170	137	666
171	138	668
172	139	668
173	140	666
174	141	665
175	141	664
176	142	663
177	143	662
178	144	660
179	144	659
180	145	658
181	146	656
182	146	655
183	147	654
184	148	652
185	148	651
186	149	650
187	150	648
188	151	647
189	151	647
190	153	649
191	154	649
192	155	648
193	155	646
194	156	645
195	157	644
196	157	643
197	158	642
198	159	641
199	159	639
200	160	638
201	161	637
202	162	636
203	162	634
204	163	634
205	164	633
206	164	632
207	166	632
208	167	632
209	167	631
210	168	630
211	169	629
212	170	628
213	170	627
214	171	626
215	172	625
216	172	623
217	173	622
218	174	621
219	174	620
220	175	618
221	176	617
222	177	617
223	177	616
224	178	615
225	179	614
226	180	614
227	181	614
228	182	614
229	183	613
230	184	612
231	184	611
232	185	610
233	186	609
234	186	608
235	187	607
236	188	606
237	189	605
238	189	604
239	190	603
240	191	602
241	191	601
242	192	600
243	193	599
244	194	598
245	195	597
246	196	598
247	197	597
248	197	596
249	198	595
250	199	594
251	199	593
252	200	592
253	201	591
254	202	590
255	202	589
256	203	588
257	204	587
258	204	586
259	205	585
260	206	584
261	206	582
262	207	581
263	208	580
264	209	580
265	210	580
266	211	580
267	212	579
268	212	578
269	213	577
270	214	576
271	215	575
272	215	574
273	216	573
274	217	572
275	217	571
276	218	570
277	219	569
278	220	568
279	220	567
280	221	566
281	222	565
282	222	564
283	223	564
284	225	564
285	225	563
286	226	563
287	227	562
288	228	561
289	228	560
290	229	559
291	230	558
292	231	557
293	231	556
294	232	555
295	233	554
296	233	553
297	234	552
298	235	551
299	236	550
300	236	549
301	237	549
302	238	549
303	239	549
304	240	548
305	241	547
306	242	546
307	242	545
308	243	544
309	244	543
310	245	542
311	245	541
312	246	540
313	247	540
314	247	539
315	248	538
316	249	537
317	250	536
318	250	535
319	251	535
320	252	534
321	253	534
322	254	533
323	255	532
324	256	532
325	257	531
326	257	530
327	258	529
328	259	528
329	260	527
330	260	527
331	261	526
332	262	525
333	262	524
334	263	523
335	264	522
336	264	521
337	265	520
338	266	519
339	267	519
340	268	518
341	269	517
342	269	516
343	270	515
344	271	515
345	272	514
346	272	513
347	273	512
348	274	511
349	274	510
350	275	509
351	276	508
352	276	507
353	277	506
354	278	505
355	279	504
356	279	503
357	280	503
358	281	502
359	282	502
360	283	501
361	284	500
362	284	499
